"code_lac" "camp_annee" "nb_id_campagne" "nb_id_prelev_poisson" "nb_id_point_prelev"
"RSV34" "2008" "1" "2" "1"
"RVH22" "2009" "1" "4" "4"
"SAL34" "2016" "1" "7" "7"
"SAR15" "2008" "1" "4" "4"
"SAU38" "2009" "1" "11" "11"
"SAU38" "2015" "1" "10" "10"
"SCA83" "2007" "1" "7" "7"
"SCA83" "2013" "1" "9" "9"
"SCR04" "2009" "1" "9" "9"
"SCR04" "2013" "1" "18" "18"
"SDB01" "2018" "1" "4" "4"
"SEC15" "2008" "1" "9" "2"
"SEC15" "2016" "1" "12" "12"
"SEI10" "2008" "1" "3" "2"
"SEI10" "2013" "1" "3" "3"
"SER63" "2012" "1" "4" "4"
"SET58" "2012" "1" "3" "3"
"SET58" "2018" "1" "1" "1"
"SID18" "2009" "1" "3" "3"
"SID18" "2016" "1" "2" "2"
"SIL85" "2009" "1" "2" "2"
"SIL85" "2011" "1" "1" "1"
"SPA87" "2012" "1" "2" "2"
"SPO04" "2011" "1" "19" "19"
"SPO04" "2017" "1" "12" "12"
"SPO25" "2009" "1" "13" "13"
"SPO25" "2015" "1" "11" "11"
"SYL01" "2008" "1" "6" "3"
"SYL01" "2014" "1" "4" "4"
"TOL2A" "2007" "1" "4" "4"
"TOL2A" "2013" "1" "7" "7"
"TOL2A" "2018" "1" "2" "2"
"TOU79" "2007" "1" "3" "1"
"TOU79" "2010" "1" "3" "3"
"TOU79" "2016" "1" "3" "3"
"TRE19" "2010" "1" "6" "6"
"TRI19" "2009" "1" "4" "4"
"VAL39" "2010" "1" "7" "7"
"VAL39" "2013" "1" "8" "8"
"VAL39" "2016" "1" "7" "7"
"VAS87" "2013" "1" "3" "3"
"VEZ50" "2010" "1" "4" "4"
"VFO08" "2008" "1" "2" "1"
"VIL12" "2010" "1" "4" "4"
"VIL12" "2015" "1" "4" "4"
"VIL42" "2006" "1" "12" "3"
"VIL42" "2013" "1" "8" "8"
"VIN66" "2009" "1" "6" "6"
"VOU39" "2008" "1" "9" "3"
"VOU39" "2014" "1" "20" "20"
