"protocol_type","opcod","date","station","protocol","surface","nb_sp","nb_ind","year","length_sourced"
"complete",1975,2008-09-09,169,"complete",828,4,707,2008,120
"complete",2158,2010-08-31,169,"complete",960,4,1407,2010,150
"complete",2220,2012-07-12,169,"complete",1020,5,1194,2012,150
"complete",5009,2014-09-24,169,"complete",980,3,350,2014,140
"complete",5008,2016-10-05,169,"complete",1020,3,590,2016,150
"complete",39440,2018-10-11,169,"complete",881.6,3,311,2018,152
"complete",411,2003-06-05,188,"complete",930,7,99,2003,155
"complete",1472,2004-06-17,188,"complete",930,6,223,2004,155
"complete",1523,2005-06-16,188,"complete",930,10,107,2005,155
"complete",1732,2006-07-06,188,"complete",961,8,175,2006,155
"complete",1790,2007-07-10,188,"complete",945,14,847,2007,150
"complete",2062,2009-09-23,188,"complete",900,13,789,2009,150
"complete",2290,2011-09-29,188,"complete",870,15,1464,2011,150
"complete",2406,2013-09-09,188,"complete",870,13,1337,2013,150
"complete",4981,2015-10-06,188,"complete",810,17,1454,2015,150
"complete",2459,2017-10-10,188,"complete",922.5,13,1160,2017,150
"complete",1452,2004-09-28,190,"complete",915,5,747,2004,183
"complete",1586,2005-09-14,190,"complete",1007,8,445,2005,190
"complete",1741,2006-09-06,190,"complete",1064,5,948,2006,190
"complete",1877,2007-10-23,190,"complete",784,4,305,2007,140
"complete",1972,2008-09-17,190,"complete",768,6,285,2008,160
"complete",2048,2009-09-02,190,"complete",832,5,485,2009,160
"complete",2154,2010-09-09,190,"complete",882,5,675,2010,180
"complete",2304,2011-08-31,190,"complete",660.8,6,581,2011,140
"complete",2262,2012-09-05,190,"complete",772.8,7,617,2012,160
"complete",2408,2013-08-27,190,"complete",701.52,7,711,2013,158
"complete",4972,2015-10-05,190,"complete",780,6,494,2015,150
"complete",4971,2016-10-04,190,"complete",528,6,312,2016,120
"complete",1865,2007-09-27,209,"complete",1547,4,169,2007,170
"complete",1956,2008-09-16,209,"complete",1485,5,809,2008,165
"complete",2047,2009-09-03,209,"complete",1440,4,683,2009,180
"complete",2149,2010-09-07,209,"complete",1656,5,1603,2010,180
"complete",2263,2012-09-04,209,"complete",1404,5,334,2012,180
"complete",2394,2013-08-29,209,"complete",1238.4,4,529,2013,160
"complete",2419,2014-09-23,209,"complete",1566,4,429,2014,180
"complete",5100,2015-10-05,209,"complete",1602,6,427,2015,180
"complete",2439,2016-08-23,209,"complete",1514,5,164,2016,200
"complete",4896,2017-09-13,209,"complete",1197,4,115,2017,150
"complete",39442,2018-10-10,209,"complete",1510.5,6,299,2018,190
"complete",1526,2005-06-23,278,"complete",938,6,338,2005,140
"complete",1660,2006-06-28,278,"complete",1064,3,403,2006,140
"complete",1923,2008-09-23,278,"complete",1254,4,150,2008,165
"complete",2170,2010-09-14,278,"complete",1433.7,5,731,2010,177
"complete",2259,2012-08-30,278,"complete",1287,3,220,2012,165
"complete",5106,2014-10-07,278,"complete",1280,4,208,2014,160
"complete",2427,2015-09-22,278,"complete",1338.15,6,170,2015,165
"complete",39504,2016-09-13,278,"complete",1280,5,190,2016,160
"complete",4903,2017-09-11,278,"complete",1337.6,5,209,2017,160
"complete",39446,2018-10-08,278,"complete",1369.5,6,356,2018,165
"partial",12366,2007-09-13,385,"partial_by_point",1250,13,186,2007,2575
"partial",12365,2008-09-23,385,"partial_by_point",1250,16,324,2008,2575
"partial",12364,2009-09-01,385,"partial_by_point",1250,13,320,2009,2575
"partial",12363,2010-08-23,385,"partial_by_point",1250,17,384,2010,2575
"partial",12361,2011-08-24,385,"partial_by_point",1250,14,521,2011,2575
"partial",12362,2012-08-27,385,"partial_by_point",1250,15,575,2012,2575
"partial",12360,2013-09-06,385,"partial_by_point",1250,10,720,2013,2575
"partial",12359,2014-08-26,385,"partial_by_point",1250,13,374,2014,2575
"partial",12358,2015-09-07,385,"partial_by_point",1250,14,669,2015,2575
"partial",12357,2016-09-26,385,"partial_by_point",1250,9,992,2016,2575
"partial",12356,2017-09-18,385,"partial_by_point",1250,12,413,2017,2575
"partial",39661,2018-09-21,385,"partial_by_point",1250,14,856,2018,2575
"complete",12241,1995-10-03,418,"complete",772.5,10,377,1995,103
"complete",12239,1996-10-22,418,"complete",772.5,10,257,1996,103
"complete",12240,1997-10-07,418,"complete",772.5,13,286,1997,103
"complete",12233,1998-09-22,418,"complete",772.5,11,568,1998,103
"complete",12238,1999-09-15,418,"complete",772.5,11,495,1999,103
"complete",12237,2000-09-19,418,"complete",772.5,12,478,2000,103
"complete",12236,2001-09-18,418,"complete",787.5,12,546,2001,105
"complete",12235,2002-09-05,418,"complete",787.5,11,319,2002,105
"complete",12234,2003-09-04,418,"complete",735,11,846,2003,105
"complete",12232,2004-08-19,418,"complete",766.5,11,491,2004,105
"complete",12231,2005-08-30,418,"complete",802.2,14,577,2005,105
"complete",12230,2006-10-20,418,"complete",913.5,14,527,2006,105
"complete",12442,1995-10-03,427,"complete",882,15,335,1995,147
"complete",12440,1996-10-22,427,"complete",882,15,278,1996,147
"complete",12441,1997-10-07,427,"complete",882,15,732,1997,147
"complete",12434,1998-09-22,427,"complete",882,14,857,1998,147
"complete",12439,1999-09-15,427,"complete",882,16,1214,1999,147
"complete",12438,2000-09-19,427,"complete",882,15,867,2000,147
"complete",12437,2001-09-18,427,"complete",955.5,15,750,2001,147
"complete",12436,2002-09-05,427,"complete",882,14,745,2002,147
"complete",12435,2003-09-04,427,"complete",808.5,14,1755,2003,147
"complete",12433,2004-08-19,427,"complete",896.7,15,1586,2004,147
"complete",12432,2005-08-30,427,"complete",983.43,15,697,2005,147
"complete",12431,2006-10-20,427,"complete",1101.03,15,871,2006,147
"complete",12430,2007-08-29,427,"complete",1030.47,15,1243,2007,147
"complete",12429,2008-09-26,427,"complete",1008.42,15,900,2008,147
"complete",12428,2009-08-26,427,"complete",1074.57,13,1176,2009,147
"complete",12426,2010-09-24,427,"complete",984.9,14,765,2010,147
"complete",12425,2011-09-01,427,"complete",1029,9,854,2011,147
"complete",12427,2012-09-12,427,"complete",1015.77,10,1447,2012,147
"complete",12424,2013-09-26,427,"complete",1014.3,12,941,2013,147
"complete",12423,2014-09-24,427,"complete",1011.36,12,1147,2014,147
"complete",12422,2015-09-23,427,"complete",1096.62,12,846,2015,147
"complete",12421,2016-08-31,427,"complete",1080.45,11,824,2016,147
"complete",12420,2017-09-07,427,"complete",999.6,11,1110,2017,147
"complete",38493,2018-09-25,427,"complete",1034.88,11,690,2018,147
"partial",12126,1995-10-04,513,"partial_over_bank",1520,5,403,1995,190
"partial",12122,1996-10-23,513,"partial_over_bank",1520,6,763,1996,190
"partial",12124,1997-10-08,513,"partial_over_bank",1520,5,472,1997,190
"partial",12115,1998-09-23,513,"partial_over_bank",1520,3,853,1998,190
"partial",12121,1999-09-15,513,"partial_over_bank",1520,8,787,1999,190
"partial",12120,2000-09-20,513,"partial_over_bank",1520,5,261,2000,200
"partial",12119,2001-09-19,513,"partial_over_bank",1520,9,2312,2001,190
"partial",12118,2002-09-06,513,"partial_over_bank",1520,7,778,2002,200
"partial",12117,2003-09-09,513,"partial_over_bank",1520,7,778,2003,190
"partial",12114,2004-08-17,513,"partial_over_bank",1520,7,817,2004,190
"partial",12113,2005-08-29,513,"partial_over_bank",1520,9,875,2005,190
"partial",12112,2006-10-13,513,"partial_over_bank",1520,8,1748,2006,190
"complete",12633,1996-10-23,527,"complete",442,3,125,1996,65
"complete",12634,1997-10-08,527,"complete",442,2,151,1997,65
"complete",12627,1998-09-23,527,"complete",442,3,186,1998,65
"complete",12632,1999-09-16,527,"complete",421.6,4,194,1999,62
"complete",12631,2000-09-21,527,"complete",421.6,2,127,2000,62
"complete",12630,2001-10-23,527,"complete",421.6,3,182,2001,62
"complete",12629,2002-09-03,527,"complete",421.6,2,119,2002,62
"complete",12628,2003-09-03,527,"complete",359.6,2,134,2003,62
"complete",12626,2004-08-18,527,"complete",440.2,3,104,2004,62
"complete",12625,2005-06-22,527,"complete",355.88,2,174,2005,62
"complete",12624,2006-07-05,527,"complete",367.04,2,214,2006,62
"complete",12063,2005-06-23,552,"complete",242.25,2,74,2005,85
"complete",12062,2006-07-06,552,"complete",249.9,2,78,2006,85
"complete",12061,2007-08-24,552,"complete",300.9,2,93,2007,85
"complete",12060,2009-07-03,552,"complete",272,2,184,2009,85
"complete",12058,2011-07-13,552,"complete",287.3,2,156,2011,85
"complete",12059,2013-07-01,552,"complete",255.85,2,48,2013,85
"complete",12057,2014-06-23,552,"complete",255,2,106,2014,85
"complete",12056,2015-07-06,552,"complete",256.7,2,83,2015,85
"complete",12055,2016-06-22,552,"complete",318.75,2,31,2016,85
"complete",12054,2017-07-18,552,"complete",257.55,2,65,2017,85
"complete",38471,2018-07-11,552,"complete",221.85,2,78,2018,85
"complete",11618,1995-10-05,568,"complete",720,3,32,1995,90
"complete",11616,1996-10-24,568,"complete",720,2,20,1996,90
"complete",11617,1997-10-09,568,"complete",720,3,75,1997,90
"complete",11610,1998-09-25,568,"complete",640,2,67,1998,80
"complete",11615,1999-09-17,568,"complete",640,2,50,1999,80
"complete",11614,2000-09-22,568,"complete",640,2,63,2000,80
"complete",11613,2001-10-09,568,"complete",640,2,78,2001,80
"complete",11612,2002-09-04,568,"complete",640,2,107,2002,80
"complete",11611,2003-09-05,568,"complete",600,2,95,2003,80
"complete",11609,2004-09-03,568,"complete",680,2,117,2004,80
"complete",11608,2005-06-24,568,"complete",653.6,2,107,2005,80
"complete",11607,2006-07-07,568,"complete",665.6,2,107,2006,80
"complete",13787,1995-10-06,624,"complete",231,2,142,1995,70
"complete",13785,1996-10-25,624,"complete",231,2,156,1996,70
"complete",13786,1997-10-10,624,"complete",231,2,274,1997,70
"complete",13779,1998-09-25,624,"complete",231,2,139,1998,70
"complete",13784,1999-09-17,624,"complete",231,2,160,1999,70
"complete",13783,2000-09-22,624,"complete",231,2,217,2000,70
"complete",13782,2001-09-21,624,"complete",245,2,198,2001,70
"complete",13781,2002-09-05,624,"complete",245,2,113,2002,70
"complete",13780,2003-09-05,624,"complete",182,2,343,2003,70
"complete",13778,2004-08-20,624,"complete",224,2,87,2004,70
"complete",13777,2005-06-24,624,"complete",166.6,2,106,2005,70
"complete",13776,2006-07-07,624,"complete",186.2,2,110,2006,70
"complete",13775,2007-07-09,624,"complete",213.5,2,92,2007,70
"complete",13774,2008-07-03,624,"complete",195.3,2,150,2008,70
"complete",13773,2009-07-02,624,"complete",182,2,206,2009,70
"complete",13771,2010-07-08,624,"complete",175,2,173,2010,70
"complete",13769,2011-07-12,624,"complete",182,2,170,2011,70
"complete",13772,2012-06-25,624,"complete",186.9,2,194,2012,70
"complete",13770,2013-07-01,624,"complete",196.7,2,66,2013,70
"complete",13768,2014-06-23,624,"complete",175,2,260,2014,70
"complete",13767,2015-07-06,624,"complete",175.7,2,174,2015,70
"complete",13766,2016-06-22,624,"complete",224.7,2,133,2016,70
"complete",13765,2017-07-18,624,"complete",200.9,2,164,2017,70
"complete",38469,2018-07-11,624,"complete",245,2,143,2018,70
"partial",13679,1995-09-15,644,"partial_over_bank",1800,9,111,1995,900
"partial",13674,1996-09-09,644,"partial_over_bank",1800,8,69,1996,900
"partial",13678,1997-06-24,644,"partial_over_bank",1800,8,29,1997,900
"partial",13673,1999-06-23,644,"partial_over_bank",1800,16,120,1999,900
"partial",13669,2001-06-12,644,"partial_over_bank",1800,15,155,2001,900
"partial",13667,2002-09-13,644,"partial_over_bank",1800,16,777,2002,900
"partial",13666,2003-09-12,644,"partial_over_bank",1800,18,540,2003,900
"partial",13663,2004-08-30,644,"partial_over_bank",1800,16,464,2004,900
"partial",13662,2005-09-07,644,"partial_over_bank",1800,16,664,2005,900
"partial",13661,2006-08-31,644,"partial_over_bank",1800,15,454,2006,900
"partial",13660,2007-09-18,644,"partial_by_point",937.5,14,171,2007,900
"partial",13659,2008-08-29,644,"partial_by_point",937.5,10,255,2008,900
"partial",13658,2009-09-03,644,"partial_by_point",937.5,8,119,2009,900
"partial",13657,2010-08-26,644,"partial_by_point",937.5,15,284,2010,900
"partial",13655,2011-08-17,644,"partial_by_point",937.5,11,261,2011,900
"partial",13656,2012-09-05,644,"partial_by_point",937.5,12,327,2012,900
"partial",13654,2013-09-04,644,"partial_by_point",937.5,14,155,2013,900
"partial",13653,2014-08-29,644,"partial_by_point",937.5,14,183,2014,900
"partial",13652,2015-09-10,644,"partial_by_point",937.5,12,294,2015,900
"partial",13651,2016-09-29,644,"partial_by_point",937.5,10,180,2016,900
"partial",13650,2017-09-19,644,"partial_by_point",937.5,15,394,2017,900
"partial",39664,2018-09-19,644,"partial_by_point",937.5,13,201,2018,900
"complete",13597,2000-10-05,657,"complete",127.3,1,52,2000,67
"complete",13596,2001-10-04,657,"complete",140.7,1,53,2001,67
"complete",14900,2006-05-17,657,"complete",120,2,29,2006,48
"complete",13588,2008-07-03,657,"complete",127.97,1,83,2008,67
"complete",13587,2009-07-02,657,"complete",135.34,1,91,2009,67
"complete",13585,2010-07-08,657,"complete",113.9,1,68,2010,67
"complete",13584,2011-07-12,657,"complete",140.7,1,60,2011,67
"complete",13586,2012-06-25,657,"complete",134,1,57,2012,67
"complete",13583,2013-07-09,657,"complete",134,1,44,2013,67
"complete",13582,2014-07-10,657,"complete",127.97,1,69,2014,67
"complete",13581,2015-06-30,657,"complete",127.97,1,69,2015,67
"complete",13580,2016-07-13,657,"complete",139.36,1,45,2016,67
"complete",13579,2017-06-27,657,"complete",133.33,1,55,2017,67
"complete",14918,1995-09-13,695,"complete",982.3,2,103,1995,110
"complete",14916,1996-09-10,695,"complete",982.3,2,109,1996,110
"complete",14917,1997-09-30,695,"complete",982.3,2,113,1997,110
"complete",14910,1998-10-01,695,"complete",982.3,2,177,1998,110
"complete",14915,1999-10-08,695,"complete",982.3,3,151,1999,110
"complete",14914,2000-10-05,695,"complete",982.3,2,213,2000,110
"complete",14913,2001-10-08,695,"complete",982.3,2,160,2001,110
"complete",14912,2002-09-10,695,"complete",982.3,3,231,2002,110
"complete",14911,2003-09-15,695,"complete",935,2,117,2003,110
"complete",14909,2004-08-24,695,"complete",982.3,2,121,2004,110
"complete",14908,2005-06-20,695,"complete",1007.6,2,176,2005,110
"complete",14907,2006-07-03,695,"complete",985.6,3,124,2006,110
"partial",14488,1995-06-29,723,"partial_over_bank",1560,10,118,1995,195
"partial",14485,1996-06-27,723,"partial_over_bank",1560,11,205,1996,195
"partial",14477,1998-06-08,723,"partial_over_bank",1560,14,187,1998,195
"partial",14483,1999-06-21,723,"partial_over_bank",1560,12,363,1999,195
"partial",14481,2000-10-02,723,"partial_over_bank",1560,10,175,2000,195
"partial",14480,2001-10-01,723,"partial_over_bank",1560,9,83,2001,195
"partial",14479,2002-09-16,723,"partial_over_bank",1560,11,668,2002,195
"partial",14478,2003-09-11,723,"partial_over_bank",1560,13,873,2003,195
"partial",14475,2004-08-27,723,"partial_over_bank",1560,14,823,2004,195
"partial",14474,2005-09-05,723,"partial_over_bank",NA,14,390,2005,195
"partial",14473,2006-08-28,723,"partial_over_bank",NA,15,439,2006,195
"partial",14663,1995-09-14,803,"partial_over_bank",1400,14,246,1995,800
"partial",14659,1996-06-28,803,"partial_over_bank",1400,10,125,1996,800
"partial",14662,1997-06-24,803,"partial_over_bank",1400,13,147,1997,800
"partial",14657,1999-06-22,803,"partial_over_bank",1770,15,229,1999,900
"partial",14653,2001-06-13,803,"partial_over_bank",1770,18,207,2001,885
"partial",14651,2002-09-17,803,"partial_over_bank",1590,15,275,2002,885
"partial",14650,2003-09-18,803,"partial_over_bank",1770,17,555,2003,885
"partial",14647,2004-08-31,803,"partial_over_bank",1770,17,539,2004,885
"partial",14645,2005-09-09,803,"partial_over_bank",1770,16,502,2005,885
"partial",14644,2006-08-30,803,"partial_over_bank",1770,15,587,2006,885
"partial",14643,2007-09-14,803,"partial_by_point",1250,14,333,2007,885
"partial",14642,2009-09-04,803,"partial_by_point",1250,16,261,2009,885
"partial",14641,2011-08-23,803,"partial_by_point",1250,13,119,2011,885
"partial",11133,2013-10-01,803,"partial_by_point",1250,23,580,2013,885
"partial",11253,2015-09-15,803,"partial_by_point",1250,22,662,2015,885
"partial",11367,2017-09-06,803,"partial_by_point",1250,22,910,2017,890
"complete",12996,2001-09-07,857,"complete",660,12,674,2001,120
"complete",12995,2002-08-30,857,"complete",525,13,831,2002,100
"complete",12994,2003-08-29,857,"complete",500,9,435,2003,100
"complete",12992,2004-09-17,857,"complete",525,9,495,2004,100
"complete",12991,2005-09-15,857,"complete",525,10,296,2005,100
"complete",12990,2006-08-24,857,"complete",525,9,403,2006,100
"complete",12989,2007-09-05,857,"complete",550,10,510,2007,110
"complete",12988,2009-09-23,857,"complete",638,12,676,2009,110
"complete",12987,2011-09-08,857,"complete",683.8,11,516,2011,130
"complete",11180,2014-10-01,857,"complete",627,12,350,2014,110
"complete",11244,2015-09-30,857,"complete",583,12,378,2015,110
"complete",11357,2017-08-31,857,"complete",610.5,12,639,2017,110
"partial",14210,1995-09-14,960,"partial_over_bank",1040,12,124,1995,130
"partial",14207,1996-09-12,960,"partial_over_bank",1040,11,312,1996,150
"partial",14209,1997-10-02,960,"partial_over_bank",1040,13,423,1997,150
"partial",14200,1998-09-29,960,"partial_over_bank",1040,13,466,1998,150
"partial",14206,1999-10-05,960,"partial_over_bank",1040,18,347,1999,150
"partial",14205,2000-10-03,960,"partial_over_bank",1040,11,199,2000,130
"partial",14204,2001-10-02,960,"partial_over_bank",1040,12,160,2001,130
"partial",14203,2002-09-12,960,"partial_over_bank",1040,13,161,2002,130
"partial",14202,2003-09-16,960,"partial_over_bank",1040,15,542,2003,130
"partial",14199,2004-08-25,960,"partial_over_bank",NA,16,466,2004,130
"partial",14198,2005-09-06,960,"partial_over_bank",1040,16,429,2005,130
"partial",14197,2006-09-04,960,"partial_over_bank",NA,19,302,2006,130
"complete",14461,1995-09-11,967,"complete",1020,8,59,1995,170
"complete",14460,1997-10-03,967,"complete",1020,7,215,1997,170
"complete",14453,1998-10-02,967,"complete",1020,5,277,1998,170
"complete",14458,1999-10-05,967,"complete",1020,7,186,1999,170
"complete",14457,2000-10-03,967,"complete",1020,9,263,2000,170
"complete",14456,2001-10-02,967,"complete",1020,7,206,2001,170
"complete",14455,2002-09-12,967,"complete",1020,8,633,2002,170
"complete",14454,2003-09-16,967,"complete",1020,6,392,2003,170
"complete",14452,2004-08-25,967,"complete",1009.8,10,542,2004,170
"complete",14451,2005-09-06,967,"complete",938.4,8,831,2005,170
"complete",14450,2006-08-29,967,"complete",1052.3,8,547,2006,170
"complete",14449,2007-09-11,967,"complete",928.2,10,491,2007,170
"complete",14448,2009-08-27,967,"complete",984.3,10,711,2009,170
"complete",14447,2011-08-22,967,"complete",931.6,11,563,2011,170
"complete",11181,2014-09-30,967,"complete",1044,7,314,2014,180
"complete",11246,2015-09-30,967,"complete",990,10,1043,2015,180
"complete",11358,2017-08-31,967,"complete",1008,10,427,2017,180
"partial",12222,1995-10-11,1076,"partial_over_bank",720,3,17,1995,90
"partial",12220,1996-10-16,1076,"partial_over_bank",720,4,187,1996,90
"partial",12221,1997-10-08,1076,"partial_over_bank",720,4,259,1997,90
"partial",12214,1998-09-28,1076,"partial_over_bank",720,4,95,1998,90
"partial",12219,1999-09-27,1076,"partial_over_bank",720,5,267,1999,90
"partial",12218,2000-09-25,1076,"partial_over_bank",720,3,214,2000,90
"partial",12217,2001-10-18,1076,"partial_over_bank",720,4,301,2001,90
"partial",12216,2002-09-23,1076,"partial_over_bank",720,4,986,2002,90
"partial",12215,2003-09-22,1076,"partial_over_bank",720,4,303,2003,90
"partial",12213,2004-09-20,1076,"partial_over_bank",720,4,343,2004,90
"partial",12212,2005-07-05,1076,"partial_over_bank",720,6,305,2005,90
"partial",12211,2006-07-04,1076,"partial_over_bank",720,5,146,2006,90
"partial",13020,1995-10-12,1146,"partial_over_bank",1040,3,112,1995,130
"partial",13018,1996-10-17,1146,"partial_over_bank",1040,3,180,1996,130
"partial",13019,1997-10-09,1146,"partial_over_bank",1040,4,265,1997,130
"partial",13012,1998-09-29,1146,"partial_over_bank",1040,4,350,1998,130
"partial",12080,2000-09-19,1146,"partial_over_bank",400,2,187,2000,100
"partial",13015,2001-09-27,1146,"partial_over_bank",768,3,357,2001,96
"partial",13014,2002-09-24,1146,"partial_over_bank",1040,4,318,2002,130
"partial",13013,2003-09-23,1146,"partial_over_bank",1040,7,610,2003,130
"partial",13011,2004-09-21,1146,"partial_over_bank",1040,4,319,2004,130
"partial",13010,2005-07-05,1146,"partial_over_bank",1040,5,356,2005,130
"partial",13562,1996-06-12,1162,"partial_over_bank",420,10,51,1996,125
"partial",13564,1997-06-06,1162,"partial_over_bank",420,12,72,1997,125
"partial",13560,1999-05-26,1162,"partial_over_bank",420,16,552,1999,125
"partial",13557,2000-09-25,1162,"partial_over_bank",420,15,208,2000,125
"partial",13555,2001-10-18,1162,"partial_over_bank",380,14,328,2001,125
"partial",13554,2002-09-23,1162,"partial_over_bank",420,12,609,2002,125
"partial",13553,2003-09-22,1162,"partial_over_bank",600,14,636,2003,125
"partial",13550,2004-09-20,1162,"partial_over_bank",420,14,1364,2004,125
"partial",13549,2005-09-19,1162,"partial_over_bank",420,14,517,2005,125
"partial",13548,2006-10-20,1162,"partial_over_bank",420,14,402,2006,125
"complete",14412,1995-08-31,1257,"complete",1040,14,461,1995,130
"complete",14410,1996-08-29,1257,"complete",1040,12,330,1996,130
"complete",14411,1997-09-10,1257,"complete",1040,11,277,1997,130
"complete",14404,1998-09-09,1257,"complete",1040,13,217,1998,130
"complete",14408,1999-09-22,1257,"complete",1040,12,349,1999,130
"complete",14409,2000-08-30,1257,"complete",1040,12,545,2000,130
"complete",14407,2001-08-30,1257,"complete",1040,12,431,2001,130
"complete",14406,2002-08-20,1257,"complete",1040,13,563,2002,130
"complete",14405,2003-10-01,1257,"complete",910,10,389,2003,130
"complete",14403,2004-09-10,1257,"complete",910,12,137,2004,130
"complete",14402,2005-08-19,1257,"complete",1040,14,220,2005,130
"complete",58710,2006-09-12,1257,"complete",1040,15,1321,2006,130
"complete",14400,2007-09-25,1257,"complete",1170,13,726,2007,130
"complete",14399,2009-09-08,1257,"complete",1170,13,1005,2009,130
"complete",14398,2011-09-28,1257,"complete",1235,13,1075,2011,130
"complete",11170,2014-09-24,1257,"complete",1222,14,765,2014,130
"complete",11225,2015-09-28,1257,"complete",1241.5,13,3020,2015,130
"complete",11360,2017-09-21,1257,"complete",1196,14,2523,2017,130
"partial",13953,1995-10-12,1301,"partial_over_bank",800,4,84,1995,100
"partial",13951,1996-10-17,1301,"partial_over_bank",800,5,122,1996,100
"partial",13952,1997-10-09,1301,"partial_over_bank",800,4,178,1997,100
"partial",13945,1998-09-29,1301,"partial_over_bank",800,7,176,1998,100
"partial",13950,1999-09-28,1301,"partial_over_bank",800,3,186,1999,100
"partial",13949,2000-09-26,1301,"partial_over_bank",800,5,268,2000,100
"partial",13948,2001-09-28,1301,"partial_over_bank",800,5,361,2001,100
"partial",13947,2002-09-24,1301,"partial_over_bank",800,2,166,2002,100
"partial",13944,2004-09-21,1301,"partial_over_bank",800,7,109,2004,100
"partial",13943,2005-07-06,1301,"partial_over_bank",800,7,289,2005,100
"complete",13312,1995-10-12,1322,"complete",676.5,5,139,1995,123
"complete",13310,1996-10-17,1322,"complete",676.5,4,212,1996,123
"complete",13311,1997-10-09,1322,"complete",676.5,3,198,1997,123
"complete",13304,1998-09-29,1322,"complete",676.5,4,220,1998,123
"complete",13309,1999-09-29,1322,"complete",676.5,3,202,1999,123
"complete",13308,2000-09-26,1322,"complete",676.5,2,213,2000,123
"complete",13307,2001-09-28,1322,"complete",676.5,2,178,2001,123
"complete",13306,2002-09-24,1322,"complete",676.5,2,240,2002,123
"complete",13305,2003-09-23,1322,"complete",676.5,5,295,2003,123
"complete",13303,2004-09-21,1322,"complete",687.5,3,214,2004,125
"complete",13302,2005-07-06,1322,"complete",687.5,5,253,2005,125
"complete",13301,2006-07-05,1322,"complete",687.5,4,246,2006,125
"complete",13300,2007-08-22,1322,"complete",737.5,5,421,2007,125
"complete",13299,2009-07-07,1322,"complete",725,4,567,2009,125
"partial",11865,1995-10-13,1348,"partial_over_bank",500,12,353,1995,150
"partial",11863,1996-10-18,1348,"partial_over_bank",500,9,270,1996,150
"partial",11857,1998-05-29,1348,"partial_over_bank",520,12,78,1998,150
"partial",11862,1999-09-21,1348,"partial_over_bank",520,11,349,1999,150
"partial",11861,2000-08-29,1348,"partial_over_bank",520,10,128,2000,150
"partial",11860,2001-08-29,1348,"partial_over_bank",520,10,355,2001,150
"partial",11859,2002-08-22,1348,"partial_over_bank",520,10,309,2002,150
"partial",11858,2003-08-21,1348,"partial_over_bank",520,14,569,2003,150
"partial",11855,2004-09-09,1348,"partial_over_bank",520,14,848,2004,150
"partial",11854,2005-08-18,1348,"partial_over_bank",500,14,946,2005,150
"partial",11853,2006-09-11,1348,"partial_over_bank",500,14,842,2006,150
