"code_lac" "camp_annee" "id_campagne"
"ECL28" 2012 250
"ECL28" 2019 551
"EGU36" 2011 280
"ENC15" 2010 281
"ENC15" 2016 456
"ENT13" 2007 10
"ENT25" 2008 88
"ENT25" 2014 364
"EPT35" 2010 220
"ESP04" 2010 221
"ESP04" 2014 415
"ESP04" 2019 544
"EST11" 2010 222
"EST11" 2018 525
"ETI39" 2005 38
"EVJ59" 2008 102
"EVJ59" 2013 345
"FEY19" 2008 104
"FEY19" 2016 462
"FIG2A" 2009 129
"FIG2A" 2015 420
"FIL09" 2005 60
"FIL09" 2015 404
"FOR35" 2008 109
"GAB64" 2012 282
"GAB64" 2017 500
"GAR09" 2012 283
"GAR09" 2018 527
"GAS14" 2011 284
"GAU65" 2006 39
"GBB43" 2010 223
"GDL44" 2008 85
"GDL44" 2016 531
"GEB69" 2009 130
"GEB69" 2015 426
"GEN01" 2019 548
"GEN82" 2012 285
"GEN82" 2018 526
"GER88" 2011 286
"GER88" 2017 497
"GIO40" 2011 287
"GIO40" 2016 476
"GLC39" 2009 131
"GLC39" 2015 421
"GON57" 2012 251
"GON57" 2018 532
"GOU03" 2009 132
"GOU03" 2015 401
"GOU22" 2009 288
"GOU82" 2011 289
"GOU82" 2017 494
"GRA15" 2009 133
"GRA15" 2014 360
"GRA15" 2020 558
"GRA42" 2006 398
"GRA42" 2013 352
"GRA42" 2019 550
"GRA85" 2009 134
"GRA85" 2011 369
"GRO21b" 2012 254
"GUE22" 2013 530
"HAG40" 2010 224
"HAG40" 2017 474
"HAR22" 2009 291
"HAU19" 2011 292
"ILA39" 2009 135
"ILA39" 2016 442
"ISS07" 2005 40
"ISS07" 2009 136
"ISS07" 2017 466
"JAB77" 2011 293
"JOU11" 2008 75
"JOU11" 2014 416
"JOU11" 2020 557
"JUG22" 2008 111
"LAC33" 2012 294
"LAD16" 2010 295
"LAF38" 2009 137
"LAF38" 2015 428
"LAO81" 2005 61
"LAO81" 2013 340
"LAO81" 2018 553
"LAR31" 2010 296
"LAR31" 2015 449
"LAS15" 2016 463
"LAT10" 2006 3
"LAT10" 2013 406
"LAU38" 2018 512
"LAV16" 2011 297
"LAV16" 2018 554
"LAV23" 2011 298
"LAV43" 2012 377
"LDC21" 2008 87
"LDC25" 2007 4
"LDC25" 2013 357
"LDC25" 2019 536
"LDC51" 2012 252
"LDC51" 2018 507
"LDC63" 2013 355
"LDC63" 2019 539
"LEJ85" 2009 138
"LEJ85" 2011 372
"LEM74" 2010 225
"LEM74" 2012 244
"LEM74" 2015 425
"LEM74" 2015 424
"LEM74" 2016 441
"LEM85" 2009 139
"LEM85" 2011 371
"LEO40" 2009 140
"LEO40" 2015 447
"LER27a" 2009 141
"LER27a" 2013 346
"LES24" 2011 299
"LES24" 2017 495
"LGM27" 2012 246
"LGM39" 2005 41
"LIE52" 2009 142
"LIE52" 2015 412
"LKW68" 2009 143
"LKW68" 2015 400
"LON88" 2010 226
"LON88" 2016 459
"LOU64" 2011 300
"LOU64" 2017 501
"LPC38" 2007 8
"LPC38" 2013 349
"LPC38" 2019 547
"LRO39" 2008 90
"LRO39" 2014 365
"LSF43" 2012 378
"LSG81" 2013 338
"LSG81" 2019 543
"LUN32" 2009 144
"LUN32" 2016 432
"MAD55" 2006 1
"MAD55" 2011 301
"MAD55" 2017 498
"MAR35" 2007 23
"MAU12" 2008 302
"MAU12" 2015 405
"MAU12" 2020 556
"MEO23" 2008 55
"MER85" 2007 62
"MIC68" 2010 227
"MIC68" 2016 455
"MIE32" 2005 59
"MIE32" 2014 367
"MIE32" 2017 502
"MON38" 2009 145
"MON38" 2017 467
"MON63" 2005 42
"MON63" 2012 380
"MON71" 2008 91
"MON71" 2013 358
"MON71" 2018 508
"MON74" 2006 114
"MOT73" 2012 333
"MOU52" 2008 65
"MUN67" 2009 146
"MUN67" 2015 413
"NAN01" 2008 84
"NAN01" 2013 350
"NAN01" 2019 549
"NAR39" 2018 509
"NAU48" 2012 303
"NAU48" 2019 541
"NDC38" 2008 81
"ORX40" 2010 304
"OSP2A" 2009 147
"OSP2A" 2014 417
"OUE35" 2010 228
"PAL07" 2012 375
"PAL38" 2011 305
"PAL38" 2017 468
"PAN21" 2008 92
"PAR12" 2013 339
"PAR12" 2019 542
"PAR40" 2008 69
"PAR40" 2015 448
"PAR54" 2008 66
"PAR54" 2014 410
"PAV63" 2005 43
"PAV63" 2012 306
"PAV63" 2018 535
"PDF44" 2010 229
"PET38" 2008 82
"PET38" 2015 429
"PIR03" 2010 230
"PLA13" 2008 77
"PON21" 2011 307
"PON21" 2019 538
"POR74" 2007 6
"POU31" 2011 308
"POU31" 2015 450
"POU43" 2011 368
"PPE14" 2008 100
"PPE14" 2016 454
"PRA33" 2009 148
"PRA66" 2006 44
"PRO44" 2010 231
"PUI18" 2011 309
"PUI18" 2018 533
"PUY48" 2008 54
"QUI04" 2011 310
"RAB61" 2009 149
"RAB61" 2017 469
"RAV34" 2011 311
"RAV34" 2017 483
"RBJ35" 2009 312
"RBO63" 2014 361
"RBO63" 2020 559
"RCB01" 2010 232
"RCE35" 2009 313
"RCM01" 2008 80
"RCS70" 2011 314
"RDC23" 2008 103
"RDV35" 2009 315
"REA13" 2008 78
"REM25" 2009 150
"REM25" 2016 443
"RFB63" 2006 20
"RFB63" 2013 356
"RFB63" 2019 540
"RGL69" 2008 79
"RIC54" 2005 46
"RIC54" 2006 47
"RIN53" 2010 233
"RIV35" 2008 110
"RKU22" 2008 112
"RLB11" 2008 76
"RMC73" 2011 316
"RMN29" 2008 113
"RMP85" 2009 151
"ROC03" 2010 234
"ROC03" 2016 457
"ROC85" 2009 152
"ROC85" 2011 373
"RPR71" 2008 93
"RSM87" 2013 353
"RST35" 2009 317
"RSV34" 2008 56
"RTN71" 2006 331
"RTN71" 2010 235
"RTV71" 2008 95
"RVH22" 2009 318
"SAL34" 2016 487
"SAR15" 2008 319
"SAU38" 2009 320
"SAU38" 2015 427
"SCA83" 2007 12
"SCA83" 2013 393
"SCA83" 2019 545
"SCR04" 2009 154
"SCR04" 2013 394
"SCR04" 2019 546
"SDB01" 2018 514
"SEC15" 2008 116
"SEC15" 2016 464
"SEI10" 2008 115
"SEI10" 2013 407
"SER63" 2012 381
"SET58" 2012 255
"SET58" 2018 510
"SFP53" 2006 16
"SID18" 2009 155
"SID18" 2016 437
"SIL85" 2009 156
"SIL85" 2011 374
"SMI29" 2006 21
"SOR71" 2008 94
"SOR71" 2015 422
"SOU40" 2005 57
"SOU40" 2012 321
"SPA87" 2012 322
"SPO04" 2011 323
"SPO04" 2017 484
"SPO25" 2009 157
"SPO25" 2015 423
"STO57" 2012 253
"STO57" 2018 506
"SYL01" 2008 83
"SYL01" 2014 347
"SYL01" 2020 561
"TAI40" 2011 324
"TAI40" 2016 478
"TOL2A" 2007 11
"TOL2A" 2013 395
"TOL2A" 2018 516
"TOR82" 2011 325
"TOR82" 2016 433
"TOU27" 2008 101
"TOU79" 2007 332
"TOU79" 2010 236
"TOU79" 2016 438
"TRA02" 2012 247
"TRE19" 2010 237
"TRI19" 2009 158
"TSC32" 2010 326
"TSC32" 2015 451
"UBY32" 2010 327
"UBY32" 2016 479
"VAL39" 2010 238
"VAL39" 2013 359
"VAL39" 2016 444
"VAL45" 2007 26
"VAL45" 2012 257
"VAS87" 2013 354
"VAU58" 2012 256
"VEN27" 2012 248
"VEZ50" 2010 239
"VFO08" 2008 67
"VFO08" 2014 411
"VIG59" 2010 240
"VIG59" 2017 470
"VIL12" 2010 328
"VIL12" 2015 452
"VIL42" 2006 14
"VIL42" 2013 351
"VIL52" 2013 408
"VIN66" 2009 159
"VIO44" 2006 15
"VOU39" 2008 96
"VOU39" 2014 366
"VSM77" 2010 241
"VVE70" 2008 89
"ZOL13" 2009 117
