"code_lac","year","value","raw_value"
"SOU40",2014,4.84,4.84
"SOU40",2015,5.03333333333333,5.03333333333333
"SPO25",2009,1.015,1.015
"SPO25",2012,1.06,1.06
"SPO25",2015,0.883333333333333,0.883333333333333
"SYL01",2008,1.28,1.28
"SYL01",2011,1.095,1.095
"SYL01",2014,0.702083333333333,0.702083333333333
"TOL2A",2010,0.83,0.83
"TOL2A",2013,1.37,1.37
"TOL2A",2016,1.49166666666667,1.49166666666667
"TOR82",2011,2.38333333333333,2.38333333333333
"TRA02",2009,3.66,3.66
"TRA02",2012,3.12375,3.12375
"TRA02",2015,4.67777777777778,4.67777777777778
"TRE19",2010,1.90208333333333,1.90208333333333
"TSC32",2009,1.38888888888889,1.38888888888889
"TSC32",2010,1.2,1.2
"VAL39",2010,0.935,0.935
"VAL39",2013,0.995,0.995
"VAL39",2016,0.71875,0.71875
"VEZ50",2010,2.19375,2.19375
"VFO08",2008,1.87,1.87
"VFO08",2012,1.67291666666667,1.67291666666667
"VIL12",2010,1.375,1.375
"VIL12",2015,1.00833333333333,1.00833333333333
"VIN66",2009,2.045,2.045
"VIN66",2012,1.665,1.665
"VIN66",2015,1.51458333333333,1.51458333333333
"VOU39",2014,0.622916666666667,0.622916666666667
